FECHA_CORTE,FECHA_EMISION,MES_FACTURACION,COD_EMPRESA,RAZON_SOCIAL,GRUPO,COD_SIS_ELECTR,COD_TARIFA,ATARIFA,USO,SUMINISTROS,PROMEDIO_CONSUMO
20250204,20240430,202404,ELN ,ELECTRO NORTE S.A.,PUBLICAS,SE3099,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,17
20250204,20230930,202309,ADIL,ADINELSA,PUBLICAS,SE0264,92,De 101 a 140 kW.h                                                                                                                                     ,Residencial,3,114
20250204,20231231,202312,ELC ,ELECTRO CENTRO,PUBLICAS,SR0109,22,1E-BT No Residencial                                                                                                                                  ,Comercial,26,103
20250204,20221130,202211,ELSE,ELECTRO SUR ESTE S.A.,PUBLICAS,SE0243,22,1E-BT No Residencial                                                                                                                                  ,Comercial,36,213
20250204,20220930,202209,ELNM,HIDRANDINA S. A.,PUBLICAS,SE2124,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,4,11
20250204,20240630,202406,ELOR,ELECTRO ORIENTE S.A.,PUBLICAS,SE1097,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,3,357
20250204,20240731,202407,ELNM,HIDRANDINA S. A.,PUBLICAS,SE0118,93,De 141 a 150 kW.h                                                                                                                                     ,Residencial,1,147
20250204,20220731,202207,ELC ,ELECTRO CENTRO,PUBLICAS,SE1065,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,8,13
20250204,20220430,202204,ELNM,HIDRANDINA S. A.,PUBLICAS,SE0127,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,6,1405
20250204,20231031,202310,ELSE,ELECTRO SUR ESTE S.A.,PUBLICAS,SE0042,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,25,620
20250204,20240430,202404,ELSE,ELECTRO SUR ESTE S.A.,PUBLICAS,SR0126,22,1E-BT No Residencial                                                                                                                                  ,Comercial,14,121
20250204,20221031,202210,ELS ,ELECTRO SUR S.A.,PUBLICAS,SE0112,9,1P2E-BT Presente en Fuera de Punta                                                                                                                    ,Industrial,1,3258
20250204,20230228,202302,ELSE,ELECTRO SUR ESTE S.A.,PUBLICAS,SE0245,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,13,117
20250204,20221231,202212,ELNO,ELECTRO NOROESTE S.A.,PUBLICAS,SE2082,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,14811,66
20250204,20240731,202407,ELN ,ELECTRO NORTE S.A.,PUBLICAS,SE0227,93,De 141 a 150 kW.h                                                                                                                                     ,Residencial,1,149
20250204,20221130,202211,ELNO,ELECTRO NOROESTE S.A.,PUBLICAS,SE3082,31,1E-BT Iluminacion Especial                                                                                                                            ,Alumbrado Publico,1,0
20250204,20230731,202307,ELNM,HIDRANDINA S. A.,PUBLICAS,SE0253,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,9,616
20250204,20240930,202409,SEAL,SOCIEDAD ELECTRICA DEL SUR OESTE S.A.,PUBLICAS,SE0249,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,777,6
20250204,20230731,202307,ELN ,ELECTRO NORTE S.A.,PUBLICAS,SR1100,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,4,180
